Assamese,Punjabi
এটা B শ্ৰেণীৰ এম্প্লিফায়াৰ,ਏ ਬੀ ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ
বিচ্যুতি,ਵਿਗਾੜ
অস্বাভাৱিক সংক্ৰমণ,ਅਸਧਾਰਨ ਸੰਚਾਰ
"অসংলগ্ন, সাধাৰণতে, গাঁতযুক্ত, কাটি পেলোৱা, ভাঙি যোৱা","ਅਣ-ਅਟੈਚਡ, ਆਮ ਤੌਰ &#39;ਤੇ, ਟੋਏ, ਕੱਟੇ ਹੋਏ, ਖੰਡਿਤ"
অনুপস্থিত বৰ্ণালী,ਗੁੰਮ ਸਪੈਕਟ੍ਰਮ
"নিৰপেক্ষ, নিৰপেক্ষ, ধ্ৰুৱক, নিখুঁত","ਪੂਰਨ, ਸੰਪੂਰਨ, ਨਿਰੰਤਰ, ਸੰਪੂਰਨ"
নিৰপেক্ষ আৰ্দ্ৰতা,ਪੂਰਨ ਨਮੀ
নিৰপেক্ষ গতি,ਪੂਰਨ ਗਤੀ
নিৰপেক্ষ পৰ্যবেক্ষণ,ਪੂਰਨ ਨਿਰੀਖਣ
নিৰপেক্ষ উষ্ণতা,ਪੂਰਨ ਤਾਪਮਾਨ
নিৰপেক্ষ শূন্য,ਪੂਰਨ ਜ਼ੀਰੋ
শুহি লোৱা,ਸੋਖਣਾ
"শোষক, শোষক","ਸੋਖਣ ਵਾਲਾ, ਸੋਖਣ ਵਾਲਾ"
শোষণ ক্ষমতা,ਸਮਾਈ ਸਮਰੱਥਾ
শোষণ ক্ষমতা,ਸਮਾਈ
শোষক,ਜਜ਼ਬ ਕਰਨ ਵਾਲਾ
শোষণ ক্ষমতা,ਸਮਾਈ
বহুগুণতা অনুপাত,ਗੁਣਾ ਅਨੁਪਾਤ
ত্বৰান্বিত কৰক,ਤੇਜ਼ ਕਰੋ
খৰধৰকৈ উঠিল,ਜਲਦੀ
বেগ বৃদ্ধি,ਪ੍ਰਵੇਗ
মাধ্যাকৰ্ষণৰ ত্বৰণ,ਗੰਭੀਰਤਾ ਦਾ ਪ੍ਰਵੇਗ
ত্বৰণকাৰী,ਐਕਸਲੇਟਰ
ত্বৰণকাৰী,ਐਕਸਲੇਟਰ
এক্সিলেৰমিটাৰ,ਐਕਸਲੇਰੋਮੀਟਰ
প্ৰিষ্ট্ৰেছাৰ,prestresser
গ্ৰহণযোগ্য পৰীক্ষা,ਸਵੀਕਾਰਯੋਗ ਟੈਸਟ
গ্ৰহণকাৰী,ਸਵੀਕਾਰ ਕਰਨ ਵਾਲਾ
দাতা অণু,ਦਾਨੀ ਅਣੂ
"প্ৰৱেশ, অপেক্ষা, অভিগম্যতা","ਪਹੁੰਚ, ਉਡੀਕ, ਪਹੁੰਚਯੋਗਤਾ"
অভিগম্যতা,ਪਹੁੰਚਯੋਗਤਾ
"অতিৰিক্ত, আনুষংগিক, আনুষংগিক (v.), আনুষংগিক (ed.)","ਵਾਧੂ, ਸਹਾਇਕ, ਸਹਾਇਕ (v.), ਸਹਾਇਕ ਉਪਕਰਣ (ed.)"
প্ৰৱেশ সময়,ਪਹੁੰਚ ਦਾ ਸਮਾਂ
দৰ্শকৰ ভুল,ਵਿਜ਼ਟਰ ਗਲਤੀ
সমন্বয়,ਵਿਵਸਥਾ
সঞ্চিত কৰা হৈছে,ਇਕੱਠਾ ਕੀਤਾ
"সঞ্চয়, সঞ্চয়","ਇਕੱਠਾ ਕਰਨਾ, ਇਕੱਠਾ ਕਰਨਾ"
এক্যুলেটৰ,ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ
শুদ্ধতা,ਸ਼ੁੱਧਤਾ
বাস্তৱতা,ਅਸਲੀਅਤ
ৰঙীন লেন্স,ਅਕ੍ਰੋਮੈਟਿਕ ਲੈਂਸ
achromatic,ਅਕ੍ਰੋਮੈਟਿਕ
achromaticity,ਰੰਗੀਨਤਾ
একাউষ্টিক,ਧੁਨੀ
শব্দ নিবাৰণ,ਸਾਊਂਡਪਰੂਫ਼
একাউষ্টিক ফ&#39;নন,ਧੁਨੀ ਫੋਨੋਨ
শব্দ একক,ਆਵਾਜ਼ ਯੂਨਿਟ
একাউষ্টিক,ਧੁਨੀ
শব্দ উৎপাদক,ਆਵਾਜ਼ ਜਨਰੇਟਰ
ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া,ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ
সক্ৰিয়কৰণ,ਸਰਗਰਮੀ
সক্ৰিয়কৰণ শক্তি,ਸਰਗਰਮੀ ਊਰਜਾ
"সক্ৰিয়কৰ্তা, সক্ৰিয়কৰ্তা","ਐਕਟੀਵੇਟਰ, ਐਕਟੀਵੇਟਰ"
সক্ৰিয়,ਕਿਰਿਆਸ਼ੀਲ
সক্ৰিয়তা,ਸਰਗਰਮੀ
প্ৰকৃত মানসিক চাপ,ਅਸਲ ਤਣਾਅ
ফুচফুচাই কোৱা,ਘੁਸਰ-ਮੁਸਰ
সামৰণিত,ਸੰਪੇਕਸ਼ਤ
"যোগ, যোগ, সমষ্টি (ed.), যোগ (v.)","ਜੋੜ, ਜੋੜ, ਕੁੱਲ (ਐਡੀ.), ਜੋੜ (v.)"
"সংযোগী সুৰ, অতিৰিক্ত সুৰ (স্বৰ)","ਸੰਯੋਜਕ ਟੋਨ, ਵਾਧੂ ਸੁਰ (ਸਵਰ)"
যোগকৰণ,additive
আঠাযুক্ততা,adhesion
আঠাযুক্ত শক্তি,ਚਿਪਕਣ ਵਾਲੀ ਊਰਜਾ
আদিয়াবাট,adiabat
adiabatic,adiabatic
তাপ নিৰোধক,ਗਰਮੀ ਇੰਸੂਲੇਟਿੰਗ
সংলগ্ন কৰা হৈছে,ਲਗਾਵ
নিয়ন্ত্ৰণযোগ্য,ਵਿਵਸਥਿਤ
ভেদ,ਪ੍ਰਵੇਸ਼
শোষণ,ਸੋਸ਼ਣ
আগলৈ,ਅੱਗੇ
প্ৰগতিশীল,ਪ੍ਰਗਤੀਸ਼ੀਲ
"আকাশী, বায়ু (v.), আকাশী (ed.)","ਆਕਾਸ਼ੀ, ਹਵਾ (ਵੀ.), ਏਰੀਅਲ (ਐਡੀ.)"
এন্টেনা ষ্ট্ৰিম,ਐਂਟੀਨਾ ਸਟ੍ਰੀਮ
আকাশী জৰীপ,ਹਵਾਈ ਸਰਵੇਖਣ
বায়ুৰ বেগ,ਹਵਾ ਦੀ ਗਤੀ
বায়ুগতিশীল সহগ,ਐਰੋਡਾਇਨਾਮਿਕ ਗੁਣਾਂਕ
বায়ুগতিবিদ্যা,ਐਰੋਡਾਇਨਾਮਿਕ
বায়ুগতিবিদ্যা,ਐਰੋਡਾਇਨਾਮਿਕਸ
এৰোনটিকেল,ਏਅਰੋਨੌਟਿਕਲ
এৰোনটিক্স,ਐਰੋਨਾਟਿਕਸ
বায়ুৰ স্পন্দন,ਹਵਾ ਦੀ ਨਬਜ਼
"বায়ুমণ্ডল, গেছ&#39;স্ফিয়াৰ","ਵਾਯੂਮੰਡਲ, ਗੈਸੋਸਫੀਅਰ"
ফোকাচ চিষ্টেম,ਫੋਕਸ ਸਿਸਟਮ
বেক ইগনিচন,ਵਾਪਸ ਇਗਨੀਸ਼ਨ
বেক লাইট,ਵਾਪਸ ਰੋਸ਼ਨੀ
জোকাৰণি,ਉਲਝਣ
"বয়স, বয়স, বয়স, যুগ (ed.), সময়ক প্ৰভাৱিত কৰা (ver.), সময়, সময়ৰ দ্বাৰা প্ৰভাৱিত হোৱা","ਉਮਰ, ਉਮਰ, ਉਮਰ, ਯੁੱਗ (ਐਡੀ.), ਸਮੇਂ ਨੂੰ ਪ੍ਰਭਾਵਿਤ ਕਰਨ ਲਈ (ਵਰਤ.), ਸਮਾਂ, ਸਮੇਂ ਦੁਆਰਾ ਪ੍ਰਭਾਵਿਤ ਹੋਣ ਲਈ"
সময় প্ৰভাৱিত,ਸਮਾਂ ਪ੍ਰਭਾਵਿਤ ਹੋਇਆ
"বয়স বৃদ্ধি, বয়স বৃদ্ধি","ਬੁਢਾਪਾ, ਬੁਢਾਪਾ"
সময়ৰ প্ৰভাৱ,ਸਮਾਂ ਪ੍ਰਭਾਵ
সময় প্ৰভাৱ পৰীক্ষা,ਸਮਾਂ ਪ੍ਰਭਾਵ ਟੈਸਟ
মাধ্যাকৰ্ষণহীন,ਗੰਭੀਰਤਾ ਰਹਿਤ
মিলন,ਸੁਲ੍ਹਾ
"বায়ুমণ্ডলীয় ৰাডাৰ, আকাশী ৰাডাৰ","ਏਅਰਬੋਰਨ ਰਾਡਾਰ, ਏਰੀਅਲ ਰਾਡਾਰ"
"আকাশী লক্ষ্য, আকাশী লক্ষ্য","ਏਰੀਅਲ ਟੀਚਾ, ਏਰੀਅਲ ਟੀਚਾ"
