Kannada,Bengali
ಸ್ಥಗಿತಗೊಳಿಸು,গর্ভপাত
ಟೈಮರ್ ಅನ್ನು ಸ್ಥಗಿತಗೊಳಿಸಿ,গর্ভপাত টাইমার
ಸಂಪೂರ್ಣ ವಿಳಾಸ,পরম ঠিকানা
ಸಂಪೂರ್ಣ ವಿಳಾಸ,পরম ঠিকানা
ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್,পরম এসেম্বলার
ಸಂಪೂರ್ಣ ಕೋಡ್,পরম কোড
ಸಂಪೂರ್ಣ ಕೋಡಿಂಗ್,পরম কোডিং
ಸಂಪೂರ್ಣ ಆಜ್ಞೆ,পরম কমান্ড
ಸಂಪೂರ್ಣ ಸಮನ್ವಯ,পরম সমন্বয়
ಸಂಪೂರ್ಣ ಡೇಟಾ,পরম ডেটা
ಸಂಪೂರ್ಣ ದೋಷ,পরম ত্রুটি
ಸಂಪೂರ್ಣ ಅಭಿವ್ಯಕ್ತಿ,পরম অভিব্যক্তি
ಸಂಪೂರ್ಣ ಸೂಚನೆ,পরম নির্দেশ
ಸಂಪೂರ್ಣ ಲೋಡರ್,পরম লোডার
ಸಂಪೂರ್ಣ ಕ್ರಮ,পরম আদেশ
ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್,পরম প্রোগ্রামিং
ಸಂಪೂರ್ಣ ಪದ,পরম শব্দ
ಸಂಪೂರ್ಣ ಮೌಲ್ಯ,পরম মান
ಸಂಪೂರ್ಣ ವೆಕ್ಟರ್,পরম ভেক্টর
ಅಮೂರ್ತ,বিমূর্ত
ಅಮೂರ್ತಗೊಳಿಸುವ,বিমূর্ত
ಅಮೂರ್ತ ಚಿಹ್ನೆ,বিমূর্ত প্রতীক
ವೇಗವರ್ಧನೆ ಅವಧಿ,ত্বরণ সময়কাল
ವೇಗವರ್ಧಕ ಸಮಯ,ত্বরণের সময়
ಉಚ್ಚಾರಣಾ,অ্যাকসেন্ট
ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ,স্বীকৃতি পরীক্ষা
ಪ್ರವೇಶ,অ্যাক্সেস
ಪ್ರವೇಶ,অ্যাক্সেস আর্ম
ಪ್ರವೇಶ ವ್ಯವಸ್ಥೆ,অ্যাক্সেস ব্যবস্থা
ಪ್ರವೇಶ,অ্যাক্সেস কর্তৃপক্ষ
ಪ್ರವೇಶ,অ্যাক্সেস চার্জ
ಪ್ರವೇಶ ವರ್ಗ,অ্যাক্সেস ক্লাস
ಡೇಟಾ ಬೇಸ್ ನಿರ್ವಹಣೆಯನ್ನು ಪ್ರವೇಶಿಸಿ,অ্যাক্সেস ডেটা বেস ম্যানেজমেন্ট
