Bengali,Malayalam
অ্যাসিডয়েড,ആസിഡോയിഡ്
বায়বীয় মাটি,അയോലിയൻ മണ്ണ്
সমষ্টি,ആകെത്തുകയായുള്ള
সমষ্টি,സമാഹരണം
কৃষিবিদ্যা,അഗ്രോളജി
কৃষিবিদ্যা,അഗ്രോണമി
A- দিগন্ত,എ-ചക്രവാളം
আও-দিগন্ত,Ao-ചക്രവാളം
আও-দিগন্ত,Aoo-ചക്രവാളം
মাটির বায়ু ক্ষমতা,മണ്ണിന്റെ വായു ശേഷി
মাটির বায়ু উপাদান,മണ്ണിന്റെ വായു ഉള്ളടക്കം
এয়ার পিকনোমিটার,എയർ പിക്നോമീറ്റർ
অ্যালিটিক মাটি,അല്ലിറ്റിക് മണ്ണ്
পলিমাটি,എക്കൽ മണ്ണ്
অ্যামফোলাইটয়েড,ആംഫോളിറ്റോയ്ഡ്
অ্যানিয়ন,അനിയോൺ
"আপাত নির্দিষ্ট মাধ্যাকর্ষণ আয়তনের ওজন বা বাল্ক নির্দিষ্ট মাধ্যাকর্ষণ,&quot;","പ്രത്യക്ഷമായ നിർദ്ദിഷ്ട ഗുരുത്വാകർഷണ വോളിയം ഭാരം അല്ലെങ്കിൽ ബൾക്ക് നിർദ്ദിഷ്ട ഗുരുത്വാകർഷണം,&quot;"
আরিস,ആരിസ്
আশলার সূক্ষ্ম গাঁথনি,അഷ്ലാർ നല്ല കൊത്തുപണി
আশলার রাজমিস্ত্রি,ആഷ്ലാർ കൊത്തുപണി
অ্যাজোনাল মাটি,അസോണൽ മണ്ണ്
পেছনের অভিনেতা,പിന്നണി നടൻ
পিছনের খিলান,പിന്നിലെ കമാനം
ব্যাক ব্যান্ড,ബാക്ക് ബാൻഡ്
পিছনের ব্রাশ,ബാക്ക് ബ്രഷ്
ফিরে চেক,തിരികെ പരിശോധിക്കുക
পিছনে কাউন্টার,ബാക്ക് കൗണ്ടർ
পিছনে কাটা,ബാക്ക് കട്ടിംഗ്
ব্যাক ড্রাফ্ট ড্যাম্পার,ബാക്ക് ഡ്രാഫ്റ്റ് ഡാംപർ
পিছনের ড্রেন,ബാക്ക് ഡ്രെയിനേജ്
ব্যাকড্রপ,ബാക്ക് ഡ്രോപ്പ്
ব্যাক ফিল,തിരികെ പൂരിപ്പിക്കുക
ব্যাক ফিললেট,ബാക്ക് ഫില്ലറ്റ്
পিছনে ফ্ল্যাপ কবজা,ബാക്ക് ഫ്ലാപ്പ് ഹിഞ്ച്
পিছনে প্রবাহ সংযোগ,ബാക്ക് ഫ്ലോ കണക്ഷൻ
পিছনে প্রবাহ প্রতিরোধক,ബാക്ക് ഫ്ലോ പ്രിവന്റർ
ব্যাক গেজ,ബാക്ക് ഗേജ്
পিছনে নর্দমা,പിന്നിലെ ഗട്ടർ
পিছনের চুলা,പിന്നിലെ അടുപ്പ്
ব্যাকিং,പിന്തുണ
ব্যাকিং বোর্ড,ബാക്കിംഗ് ബോർഡ്
ফিরতি চাপ,പിന്നിലെ മർദ്ദം
পিছনে প্রপ,ബാക്ക് പ്രോപ്പ്
পিছনের দৃষ্টি,പിന്നാമ്പുറ കാഴ്ച
পিঠের জল,പിൻ വെള്ളം
বিভ্রান্ত,തടസ്സപ്പെടുത്തുക
ব্যাগওয়ার্ক,ബാഗ് വർക്ക്
ব্যালাস্ট,ബാലസ്റ്റ്
বল কাদামাটি,പന്ത് കളിമണ്ണ്
বল শঙ্কু বাতা,ബോൾ കോൺ ക്ലാമ്പ്
কাঁটাতার,മുള്ളുകമ്പി
বার কুকুর,ബാർ നായ
বার্জ বোর্ড,ബാർജ് ബോർഡ്
বেরিয়াম সালফেট পরীক্ষা,ബേരിയം സൾഫേറ്റ് പരിശോധന
ব্যারেজ,തടയണ
ব্যারেট,ബാരറ്റ്
বেস,അടിസ്ഥാനം
বেস বিনিময়,അടിസ്ഥാന കൈമാറ്റം
বেস লাইন,അടിസ്ഥാന ലൈൻ
বেসমেন্ট,നിലവറ
বেসমেন্ট প্রাচীর,ബേസ്മെൻറ് മതിൽ
বেস প্লেট,അടിസ്ഥാന പ്ലേറ്റ്
"বেস প্লেট, নিয়মিত","അടിസ്ഥാന പ്ലേറ്റ്, ക്രമീകരിക്കാവുന്ന"
বেস স্যাচুরেশন,അടിസ്ഥാന സാച്ചുറേഷൻ
বেসয়েড,ബസോയ്ഡ്
ব্যাট,ബാറ്റ്
স্নান এবং WC,ബാത്ത് ആൻഡ് ഡബ്ല്യുസി
ব্যাটার পেগ,ബാറ്റർ കുറ്റി
ব্যাটার পিয়ার,ബാറ്റർ പിയർ
ব্যাটারের নিয়ম,ബാറ്റർ ഭരണം
বাল্ক (বাল্ক),ബോൾക്ക് (ബാക്ക്)
বে,ബേ
বহনকারী,ചുമക്കുന്നയാൾ
ভারবহন ক্ষমতা,വഹിക്കാനുള്ള ശേഷി
ভারবহন গাদা,ബെയറിംഗ് പൈൽ
ভারবহন স্তর,ബെയറിംഗ് സ്ട്രാറ്റം
বিছানা,കിടക്ക
বেডিং প্লেন,ബെഡ്ഡിംഗ് വിമാനം
বেড জয়েন্ট,കിടക്ക ജോയിന്റ്
বিছানা শিলা,കിടക്ക പാറ
শয়নকক্ষ,കിടപ്പുമുറി
মোম,തേനീച്ചമെഴുകിൽ
বেল বক্স,മണി പെട്ടി
বেলিং বালতি,ബെല്ലിംഗ് ബക്കറ്റ്
বেলোফ্রাম,ബെല്ലോഫ്രം
বেঞ্চড ফাউন্ডেশন,ബെഞ്ച് ചെയ്ത അടിത്തറ
বেঞ্চিং,ബെഞ്ചിംഗ്
মাপকাঠি,ബെഞ്ച് മാർക്ക്
বেনিফিট খরচ বিশ্লেষণ,ആനുകൂല്യ ചെലവ് വിശകലനം
বারম,ബെർം
বেভেলড ক্লোজার,ബെവൽഡ് ക്ലോഷർ
"বি-দিগন্ত,&quot;বি-","ബി-ചക്രവാളം,&quot;ബി-"
বিয়াট,ബിയാറ്റ്
বাইন্ডার,ബൈൻഡർ
বাঁধাই উপাদান,ബൈൻഡിംഗ് മെറ്റീരിയൽ
বায়োটের তত্ত্ব,ബയോട്ടിന്റെ സിദ്ധാന്തം
বিটুমেন,ബിറ്റുമെൻ
কালো তুলার মাটি,കറുത്ത പരുത്തി മണ്ണ്
কালো পৃথিবী,കറുത്ത ഭൂമി
কালো টার্ফ মাটি,കറുത്ത ടർഫ് മണ്ണ്
ব্লেড,ബ്ലേഡ്
ব্লাস্ট ফার্নেস স্ল্যাগ সিমেন্ট,ബ്ലാസ്റ്റ് ഫർണസ് സ്ലാഗ് സിമന്റ്
অবরুদ্ধ কাঠামো,ബ്ലോക്കി ഘടന
বগি প্রতিরোধ,ബോഗി പ്രതിരോധം
বগ-লোহা আকরিক,ബോഗ്-ഇരുമ്പ് അയിര്
বন্ধন,ബോണ്ട്
বন্ডেড সদস্য,ബന്ധിത അംഗം
বন্ধন পোস্ট উত্তেজনা,ബോണ്ടഡ് പോസ്റ്റ് ടെൻഷനിംഗ്
বন্ড পাথর,ബോണ്ട് കല്ല്
আবদ্ধ জল,കെട്ടിയ വെള്ളം
বক্স নর্দমা,ബോക്സ് ഗട്ടർ
বন্ধনী,ബ്രേസ്
ইট-অন-এজ,ബ്രിക്ക്-ഓൺ-എഡ്ജ്
লাগাম,കടിഞ്ഞാൺ
উজ্জ্বলতা,തെളിച്ചം
বাদামী মাটি,തവിട്ട് മണ്ണ്
বিল্ডিং,കെട്ടിടം
বিল্ডিং সার্ভেয়ার,ബിൽഡിംഗ് സർവേയർ
বাফার,ബഫർ
বাফার বক্ররেখা,ബഫർ കർവ്
বাফারিং,ബഫറിംഗ്
বাফার ক্ষমতা,ബഫറിംഗ് ശേഷി
বান্দর,ബണ്ടർ
বাট্রেস,ബട്രസ്
সি-দিগন্ত,സി-ചക്രവാളം
তারের,കേബിൾ
তারের ছাঁচনির্মাণ,കേബിൾ മോൾഡിംഗ്
ক্যাবলিং,കേബിളിംഗ്
কেবিন,ചെറിയമുറി
কেবিন হুক,ക്യാബിൻ ഹുക്ക്
মন্ত্রিসভা,കാബിനറ്റ്
ক্যাবল্টের পদত্যাগ,കാബോൾട്ട് ഉപേക്ഷിച്ചു
ক্যাফেটারিয়া,കഫറ്റീരിയ
খাঁচা,കൂട്ടിൽ
খাঁচা নির্মাণ,കൂട് നിർമ്മാണം
কেইনের সূত্র,കയീൻ ഫോർമുല
কাইসন,കൈസൺ
ক্যাসন রোগ,കെയ്സൺ രോഗം
ক্যাসন ফাউন্ডেশন,കൈസൺ ഫൗണ്ടേഷൻ
Caisson pile,കൈസൺ ചിത
চুনযুক্ত ইট,കാൽക്കറിയസ് ഇഷ്ടിക
চুনযুক্ত কাদামাটি,സുഷിരമുള്ള കളിമണ്ണ്
চুনযুক্ত ভূত্বক,സുഷിരമുള്ള പുറംതോട്
ক্যালসিফিকেশন,കാൽസിഫിക്കേഷൻ
ক্যালসিনেশন,കാൽസിനേഷൻ
ক্যালসিন,കാൽസൈൻ
ক্যালসাইট,കാൽസൈറ്റ്
ক্যালসিয়াম-অ্যালুমিনেট সিমেন্ট,കാൽസ്യം-അലുമിനേറ്റ് സിമന്റ്
ক্যালসিয়াম-সিলিকেট ইট,കാൽസ്യം-സിലിക്കേറ്റ് ഇഷ്ടിക
ক্যালসিয়াম-সিলিকেট হাইড্রেট,കാൽസ്യം-സിലിക്കേറ്റ് ഹൈഡ്രേറ്റ്
ক্যালিছে,കാലിച്ചെ
ক্যালিফোর্নিয়া ভারবহন অনুপাত,കാലിഫോർണിയ ബെയറിംഗ് റേഷ്യോ
ক্যালিপার,കാലിപ്പർ
ক্যালোরিমিটার,കലോറിമീറ്റർ
ক্যাম্বার,കാംബർ
খাল,കനാൽ
ক্যানোপি,മേലാപ്പ്
ক্যান্টিলিভার ফুটিং,കാന്റിലിവർ ഫൂട്ടിംഗ്
ক্যাপ,തൊപ്പി
ক্ষমতা,ശേഷി
আইল ট্র্যাকের ক্ষমতা,എയിൽ ട്രാക്കിന്റെ ശേഷി
ক্যাপ তারের,തൊപ്പി കേബിൾ
কৈশিকতা,കാപ്പിലാരിറ്റി
কৈশিক বিরতি,കാപ്പിലറി ബ്രേക്ക്
কৈশিক প্রবাহ,കാപ്പിലറി ഒഴുക്ക്
কৈশিক আর্দ্রতা বা কৈশিক জল,കാപ്പിലറി ഈർപ്പം അല്ലെങ്കിൽ കാപ്പിലറി വെള്ളം
কৈশিক ছিদ্র স্থান,കാപ്പിലറി പോർ സ്പേസ്
কৈশিক ছিদ্র,കാപ്പിലറി പൊറോസിറ്റി
কৈশিক স্থান,കാപ്പിലറി സ്പേസ്
ক্যাপচার বেগ,ക്യാപ്‌ചർ വേഗത
কার্বনেশন,കാർബണേഷൻ
কার্বন কালো,കാർബൺ കറുപ്പ്
কাস্টবল অবাধ্য,കാസ്റ്റ്ബിൾ റിഫ്രാക്റ്ററി
কাস্ট-ইন-প্লেস বা কাস্ট-ইন-সিটু,കാസ്റ്റ്-ഇൻ-പ്ലേസ് അല്ലെങ്കിൽ കാസ്റ്റ്-ഇൻ-സിറ്റു
কাস্ট-ইন-প্লেস গাদা,കാസ്റ്റ്-ഇൻ-പ്ലേസ് പൈൽ
ক্যাস্টর,ജാതി
ঢালাই পাথর,എറിയുന്ന കല്ല്
প্রভাবক,കാറ്റലിസ്റ്റ്
ক্যাটেনা,കാറ്റെന
বিড়ালের মুখ,പൂച്ച മുഖം
বিড়ালের মাথা,പൂച്ചയുടെ തല
ক্যাটান,കാറ്റേഷൻ
বিড়াল হাঁটা,പൂച്ച നടത്തം
গহ্বরের ক্ষতি,കാവിറ്റേഷൻ കേടുപാടുകൾ
সেলাইট,സെലൈറ്റ്
সেলুলার কংক্রিট,സെല്ലുലാർ കോൺക്രീറ്റ്
সেলুলার নির্মাণ,സെല്ലുലാർ നിർമ്മാണം
সিমেন্ট,സിമന്റ്
"সিমেন্ট, বিটুমিনাস","സിമന്റ്, ബിറ്റുമിനസ്"
"সিমেন্ট, উচ্চ শক্তি","സിമന്റ്, ഉയർന്ന ശക്തി"
"সিমেন্ট, জলবাহী","സിമന്റ്, ഹൈഡ്രോളിക്"
"সিমেন্ট, কম তাপ","സിമന്റ്, കുറഞ്ഞ ചൂട്"
"সিমেন্ট, রাজমিস্ত্রি","സിമന്റ്, കൊത്തുപണി"
"সিমেন্ট, প্রাকৃতিক","സിമന്റ്, പ്രകൃതി"
"সিমেন্ট, পোর্টল্যান্ড","സിമന്റ്, പോർട്ട്ലാൻഡ്"
"সিমেন্ট, পোর্টল্যান্ড ব্লাস্ট ফার্নেস স্ল্যাগ","സിമന്റ്, പോർട്ട്ലാൻഡ് ബ്ലാസ്റ്റ് ഫർണസ് സ്ലാഗ്"
"সিমেন্ট, পোর্টল্যান্ড পোজোলান","സിമന്റ്, പോർട്ട്ലാൻഡ് പോസോളാൻ"
"সিমেন্ট, স্ল্যাগ","സിമന്റ്, സ്ലാഗ്"
"সিমেন্ট, সালফেট প্রতিরোধী","സിമന്റ്, സൾഫേറ്റ് പ്രതിരോധം"
"সিমেন্ট, সুপার সালফেটেড","സിമന്റ്, സൂപ്പർ സൾഫേറ്റ്"
"সিমেন্ট, সাদা","സിമന്റ്, വെള്ള"
সিমেন্ট-সমষ্টি অনুপাত,സിമന്റ്-അഗ്രഗേറ്റ് അനുപാതം
সিমেন্ট সামগ্রী,സിമന്റ് ഉള്ളടക്കം
সিমেন্ট জেল,സിമന്റ് ജെൽ
সিমেন্টের বন্দুক,സിമന്റ് തോക്ക്
সিমেন্টের ভাটা,സിമന്റ് ചൂള
সিমেন্ট পেইন্ট,സിമന്റ് പെയിന്റ്
সিমেন্ট প্লাস্টার,സിമന്റ് പ്ലാസ്റ്റർ
সিমেন্ট শিলা,സിമന്റ് പാറ
সিমেন্ট স্লারি,സിമന്റ് സ്ലറി
সিমেন্ট স্টোরেজ,സിമന്റ് സംഭരണം
সিমেন্টেশন প্রক্রিয়া,സിമന്റേഷൻ പ്രക്രിയ
কেন্দ্রীভূত করা,കേന്ദ്രീകരിക്കുന്നു
সেন্টারিং এবং শাটারিং,കേന്ദ്രീകരിക്കലും ഷട്ടറിംഗും
কেন্দ্রীয় মিশ্র কংক্রিট,സെൻട്രൽ മിക്സഡ് കോൺക്രീറ്റ്
কেন্দ্রীয় মিশুক,സെൻട്രൽ മിക്സർ
কেন্দ্রাতিগ পাখা,അപകേന്ദ്ര ഫാൻ
চক,ചോക്ക്
চেম্ফার,ചാംഫർ
চেম্ফার ফালা,ചേംഫർ സ്ട്രിപ്പ്
চ্যানেল বিম,ചാനൽ ബീം
চরিত্রগত লোড,സ്വഭാവസവിശേഷത ലോഡ്
চারিত্রিক শক্তি,സ്വഭാവ ശക്തി
বন্ধ চার্জ,ചാർജ്ജ് ഓഫ്
চার্জিং,ചാർജിംഗ്
চেক করা হচ্ছে,പരിശോധിക്കുന്നു
