Bengali,Punjabi
অ্যাম্পিয়ার (একক),ਐਂਪੀਅਰ (ਯੂਨਿਟ)
অ্যাংস্ট্রাম,angstrum
A-শ্রেণীর পরিবর্ধক,ਏ-ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ
এএন রেডিও সহায়,ਏਐਨ ਰੇਡੀਓ ਸਹਾਏ
একটি-স্ক্যানিং উপস্থাপনা,ਇੱਕ-ਸਕੈਨਿੰਗ ਪੇਸ਼ਕਾਰੀ
a-দর্শ,a-ਦਰਸ਼
A-স্কোপ কর্মক্ষমতা,ਏ-ਸਕੋਪ ਪ੍ਰਦਰਸ਼ਨ
A-T বাঁকা স্ফটিক,A-T ਕਰਵਡ ਕ੍ਰਿਸਟਲ
"এসি ডিসি উপকারিতা, ক. সিডি। সি.লাভী, এ. সিডি। গ. পরিবর্ধন","AC-DC ਲਾਭ, ਏ. ਸੀ.ਡੀ. ਸੀ.ਲਾਭੀ, ਏ. ਸੀ.ਡੀ. c. ਪ੍ਰਸਾਰਣ"
am,am
এএমইউ (পারমাণবিক ভর একক),ਏ.ਐੱਮ.ਯੂ (ਪਰਮਾਣੂ ਪੁੰਜ ਯੂਨਿਟ)
আর্ড-ওয়ার্ক*,ਆਰਡ-ਵਰਕ*
ab-ampere,ਐਬ-ਐਂਪੀਅਰ
A-B শ্রেণীর পরিবর্ধক,ਏ-ਬੀ ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ
adah,adah
A-B শক্তি পিটক,ਏ-ਬੀ ਸ਼ਕਤੀ ਪਿਟਕ
abc = প্রান্তিককরণ চার্ট = নোমোগ্রাফ,abc = ਅਲਾਈਨਮੈਂਟ ਚਾਰਟ = ਨਾਮੋਗ੍ਰਾਫ
আবে নম্বর (আবে ধ্রুবক),ਅਬੇ ਨੰਬਰ (ਆਬੇ ਸਥਿਰ)
abe রিফ্র্যাক্টোমিটার,abe refractometer
অ্যাবে সাইন স্টেট,ਅਬੇ ਸਾਈਨ ਸਟੇਟ
স্বয়ংক্রিয় পক্ষপাত ক্ষতিপূরণ,ਆਟੋਮੈਟਿਕ ਪੱਖਪਾਤ ਮੁਆਵਜ਼ਾ
abcoulom,abcoulom
"aberration, aberration",ਵਿਗਾੜ
বিকৃতি সংশোধনকারী লেন্স,ਵਿਗਾੜ ਠੀਕ ਕਰਨ ਵਾਲਾ ਲੈਂਸ
আকাশ বিকৃতি,ਅਸਮਾਨ ਵਿਕਾਰ
আবফারদ,abfarad
ইবেনরি,ਈਬੇਨਰੀ
আবলুস প্রভাব,ਈਬੋਨੀ ਪ੍ਰਭਾਵ
অস্বাভাবিক মেরুকরণ,ਅਸਧਾਰਨ ਧਰੁਵੀਕਰਨ
অস্বাভাবিক সংক্রমণ,ਅਸਧਾਰਨ ਸੰਚਾਰ
অলৌকিক প্রতিফলন,ਅਲੌਕਿਕ ਪ੍ਰਤੀਬਿੰਬ
অস্বাভাবিক প্রতিসরণ*,ਅਸਧਾਰਨ ਅਪਵਰਤਨ*
অস্বাভাবিক প্রতিরোধ,ਅਲੌਕਿਕ ਵਿਰੋਧ
ab-om,ab-om
"preponderance, ব্যর্থতা","ਪ੍ਰਬਲਤਾ, ਅਸਫਲਤਾ"
"সংযুক্ত, সাধারণত, দাঁড়ানো, বিচ্ছিন্ন, খণ্ডিত","ਜੁੜੇ ਹੋਏ, ਆਮ ਤੌਰ &#39;ਤੇ, ਖੜ੍ਹੇ, ਕੱਟੇ ਹੋਏ, ਖੰਡਿਤ"
প্রায়ই লাফ দেয়,ਅਕਸਰ ਛਾਲ ਮਾਰਦਾ ਹੈ
হাত*,ਹੱਥ*
হারিয়ে যাওয়া প্রতিফলন,ਗੁੰਮ ਪ੍ਰਤੀਬਿੰਬ
অনুপস্থিত বর্ণালী,ਗੁੰਮ ਸਪੈਕਟ੍ਰਮ
"পরম, পরম, ধ্রুবক, নিখুঁত","ਪੂਰਨ, ਸੰਪੂਰਨ, ਨਿਰੰਤਰ, ਸੰਪੂਰਨ"
পরম ত্বরণ,ਪੂਰਨ ਪ੍ਰਵੇਗ
পরম বাস্তবতা,ਪੂਰਨ ਅਸਲੀਅਤ
পরম ঠিকানা,ਪੂਰਾ ਪਤਾ
ভূ-আপেক্ষিক উচ্চতা মিটার,ਭੂ-ਸੰਬੰਧੀ ਉਚਾਈ ਮੀਟਰ
ভূতাত্ত্বিক উচ্চতা,ਭੂ-ਵਿਗਿਆਨਕ ਉਚਾਈ
পরম অ্যাম্পিয়ার,ਪੂਰਨ ਐਂਪੀਅਰ
পরম ফুটন্ত বিন্দু,ਪੂਰਨ ਉਬਾਲ ਬਿੰਦੂ
পরম আলোকসজ্জা,ਪੂਰਨ ਪ੍ਰਕਾਸ਼
পরম ক্ষমতা,ਪੂਰਨ ਸਮਰੱਥਾ
পরম উচ্চতা,ਪੂਰਨ ਉਚਾਈ
পরম রঙ্গক,ਪੂਰਨ ਰੰਗ
"পরম কনফিগারেশন, দ্ব্যর্থহীন কনফিগারেশন","ਪੂਰਨ ਸੰਰਚਨਾ, ਅਸਪਸ਼ਟ ਸੰਰਚਨਾ"
পরম কুলম্ব,ਪੂਰਨ ਕੂਲੰਬ
সম্পূর্ণ অন্ধকার,ਪੂਰਾ ਹਨੇਰਾ
পরম সময়সূচী,ਪੂਰਨ ਸਮਾਂ-ਸਾਰਣੀ
পরম ঘনত্ব*,ਸੰਪੂਰਨ ਘਣਤਾ*
পরম নিষ্কাশন,ਪੂਰਨ ਡਰੇਨੇਜ
পরম ইএমইউ (ইলেক্ট্রোম্যাগনেটিক ইউনিট),ਸੰਪੂਰਨ EMU (ਇਲੈਕਟਰੋਮੈਗਨੈਟਿਕ ਯੂਨਿਟ)
পরম ESU (স্থির শক্তি ইউনিট),ਸੰਪੂਰਨ ESU (ਸਥਿਰ ਇਕਾਈ)
পরম দক্ষতা,ਪੂਰਨ ਕੁਸ਼ਲਤਾ
পরম ইলেক্ট্রোমিটার,ਪੂਰਨ ਇਲੈਕਟ੍ਰੋਮੀਟਰ
পরম ফ্রিকোয়েন্সি পরম ফ্রিকোয়েন্সি,ਸੰਪੂਰਨ ਬਾਰੰਬਾਰਤਾ ਸੰਪੂਰਨ ਬਾਰੰਬਾਰਤਾ
পরম আর্দ্রতা,ਪੂਰਨ ਨਮੀ
পরম ঘটনা,ਸੰਪੂਰਨ ਘਟਨਾ
পরম প্রতিসরাঙ্ক সূচক,ਪੂਰਨ ਪ੍ਰਤੀਕ੍ਰਿਆਤਮਕ ਸੂਚਕਾਂਕ
পরম অস্থিরতা,ਪੂਰਨ ਅਸਥਿਰਤਾ
পরম অস্থিরতা,ਪੂਰਨ ਅਸਥਿਰਤਾ
"পরম তীব্রতা, পরম তীব্রতা","ਪੂਰਨ ਤੀਬਰਤਾ, ਸੰਪੂਰਨ ਤੀਬਰਤਾ"
অ্যাথেনিয়ার পরম সীমা,ਅਸਥਨੀਆ ਦੀ ਪੂਰਨ ਸੀਮਾ
পরম আলোকসজ্জা সিল,ਪੂਰਨ ਰੋਸ਼ਨੀ ਸਿਲ
পরম হালকা বক্ররেখা,ਪੂਰਨ ਰੌਸ਼ਨੀ ਵਕਰ
পরম মাত্রা,ਪੂਰਨ ਵਿਸ਼ਾਲਤਾ
পরম ব্যারোমিটার,ਪੂਰਨ ਬੈਰੋਮੀਟਰ
সর্বোচ্চ সর্বোচ্চ,ਪਰਮ ਸਰਵਉੱਚ
পরম চরম,ਪੂਰਨ ਅਤਿ
পরম সর্বনিম্ন,ਸਭ ਤੋਂ ਘੱਟ
পরম গতিবেগ,ਪੂਰਨ ਗਤੀ
পরম গতি,ਪੂਰਨ ਗਤੀ
পরম সঙ্গীত,ਪੂਰਨ ਸੰਗੀਤ
পরম পর্যবেক্ষণ,ਪੂਰਨ ਨਿਰੀਖਣ
পরম ওম,ਪੂਰਨ ਓਮ
পরম অভিযোজন,ਪੂਰਨ ਸਥਿਤੀ
পরম বৈদ্যুতিক ঋণাত্মকতা,ਪੂਰਨ ਇਲੈਕਟ੍ਰੋਨੈਗੇਟਿਵਿਟੀ
পরম মাধ্যাকর্ষণ,ਪੂਰਨ ਗੰਭੀਰਤਾ
পরম চাপ,ਪੂਰਨ ਦਬਾਅ
পরম সম্পত্তি,ਪੂਰਨ ਸੰਪਤੀ
পরম স্কেলার,ਪੂਰਨ ਸਕੇਲਰ
তাপমাত্রার পরম স্কেল*,ਤਾਪਮਾਨ ਦਾ ਪੂਰਨ ਪੈਮਾਨਾ*
"পরম সমলয়, পরম সমলয়","ਸੰਪੂਰਨ ਸਮਕਾਲੀ, ਸੰਪੂਰਨ ਸਮਕਾਲੀ"
পরম চাপ,ਪੂਰਨ ਤਣਾਅ
পরম প্রতিসাম্য,ਪੂਰਨ ਸਮਰੂਪਤਾ
পরম গতি শরীর,ਪੂਰਨ ਗਤੀ ਸਰੀਰ
পরম ইউনিট সিস্টেম,ਪੂਰਨ ਯੂਨਿਟ ਸਿਸਟਮ
পরম তাপমাত্রা,ਪੂਰਨ ਤਾਪਮਾਨ
পরম সময়,ਪੂਰਾ ਸਮਾਂ
পরম একক,ਪੂਰਨ ਇਕਾਈਆਂ
পরম মান,ਸਹੀ ਮੁੱਲ
পূর্ণসংখ্যা ক্যালকুলেটর,ਪੂਰਨ ਅੰਕ ਕੈਲਕੁਲੇਟਰ
পরম বেগ,ਪੂਰਨ ਗਤੀ
পরম সান্দ্রতা,ਪੂਰਨ ਲੇਸ
পরম ওজন,ਪੂਰਨ ਭਾਰ
পরম শূন্য*,ਪੂਰਨ ਜ਼ੀਰੋ*
শূন্যের পরম ভাজক,ਜ਼ੀਰੋ ਦਾ ਪੂਰਨ ਭਾਜਕ
শোষণ করা,ਸੋਖਣਾ
শোষণ সূচক*,ਸ਼ੋਸ਼ਣ ਸੂਚਕਾਂਕ*
শোষিত শক্তি,ਲੀਨ ਊਰਜਾ
"শোষক, শোষক","ਸੋਖਣ ਵਾਲਾ, ਸੋਖਣ ਵਾਲਾ"
শোষক মাধ্যম*,ਸੋਖਣ ਵਾਲਾ ਮਾਧਿਅਮ*
শোষণ ক্ষমতা,ਸਮਾਈ ਸਮਰੱਥਾ
শোষণ,ਸਮਾਈ
শোষণ যন্ত্র*,ਸ਼ੋਸ਼ਣ ਮੀਟਰ*
শোষণমিতি*,ਸੋਖਣ ਗਣਿਤ*
শোষণ,ਸਮਾਈ
শোষণ - ব্যান্ড*,ਸਮਾਈ - ਬੈਂਡ*
শোষণ সার্কিট,ਸਮਾਈ ਸਰਕਟ
শোষণ গুণাঙ্ক,ਸਮਾਈ ਗੁਣਾਂਕ
শোষণ কলাম,ਸਮਾਈ ਕਾਲਮ
শোষণ ধ্রুবক,ਸਮਾਈ ਸਥਿਰ
শোষণ ধারাবাহিকতা,ਸਮਾਈ ਨਿਰੰਤਰਤਾ
শোষণ অঞ্চল,ਸਮਾਈ ਜ਼ੋਨ
শোষণ বর্তমান,ਸਮਾਈ ਮੌਜੂਦਾ
শোষণ বক্ররেখা*,ਸਮਾਈ ਕਰਵ*
শোষণ ফ্র্যাকচার,ਸਮਾਈ ਫ੍ਰੈਕਚਰ
শোষণ কোর,ਸਮਾਈ ਕੋਰ
শোষণ ফ্যাক্টর,ਸਮਾਈ ਕਾਰਕ
শোষণ ফিল্টার,ਸਮਾਈ ਫਿਲਟਰ
শোষণ শিখা ফটোমেট্রি*,ਸੋਖਣ ਫਲੇਮ ਫੋਟੋਮੈਟਰੀ*
শোষণ হাইগ্রোমিটার,ਸਮਾਈ ਹਾਈਗਰੋਮੀਟਰ
শোষণ সূচক,ਸਮਾਈ ਘਾਤਕ
শোষণ প্রান্তিক,ਸਮਾਈ ਮਾਮੂਲੀ
শোষণ লাইন,ਸਮਾਈ ਲਾਈਨ
শোষণ ক্ষতি,ਸਮਾਈ ਨੁਕਸਾਨ
শোষণ মড্যুলেশন,ਸਮਾਈ ਮੋਡੂਲੇਸ਼ਨ
আলো শোষণ,ਰੋਸ਼ਨੀ ਸਮਾਈ
বিকিরণ শক্তি শোষণ,ਰੇਡੀਏਸ਼ਨ ਊਰਜਾ ਦੀ ਸਮਾਈ
শোষণ শিখর,ਸਮਾਈ ਸਿਖਰ
শোষণ ফটোমেট্রি,ਸਮਾਈ ਫੋਟੋਮੈਟਰੀ
শোষণ অনুপাত,ਸਮਾਈ ਅਨੁਪਾਤ
শোষণ পরিসীমা*,ਸਮਾਈ ਸੀਮਾ*
শোষণ স্পেকট্রাম ফটোমেট্রি*,ਸ਼ੋਸ਼ਣ ਸਪੈਕਟ੍ਰਮ ਫੋਟੋਮੈਟਰੀ*
শোষণ বর্ণালী*,ਸਮਾਈ ਸਪੈਕਟ੍ਰਮ*
"শোষণ নল, শোষণ নল","ਸਮਾਈ ਟਿਊਬ, ਸਮਾਈ ਟਿਊਬ"
শোষণ হাইগ্রোমিটার,ਸਮਾਈ ਹਾਈਗਰੋਮੀਟਰ
শোষক*,ਸੋਖਣ ਵਾਲਾ*
শোষক বাষ্পীভবনকারী,ਜਜ਼ਬ ਕਰਨ ਵਾਲਾ evaporator
শোষণ আইন*,ਸਮਾਈ ਕਾਨੂੰਨ*
শোষণ মাধ্যম,ਸਮਾਈ ਮਾਧਿਅਮ
"শোষণ ক্ষমতা, শোষণ*","ਸੋਖਣ ਦੀ ਸਮਰੱਥਾ, ਸਮਾਈ*"
শোষণ*,ਸਮਾਈ*
স্টুডিও সজ্জা,ਸਟੂਡੀਓ ਸਜਾਵਟ
বহুগুণ অনুপাত,ਗੁਣਾ ਅਨੁਪਾਤ
বিভ্রান্তি,ਰੱਦ ਕਰਨਾ
সম্পর্কিত,ਬਾਰੇ
ত্বরান্বিত করা,ਤੇਜ਼ ਕਰੋ
ত্বরণ-স্টপ দূরত্ব,ਪ੍ਰਵੇਗ-ਸਟਾਪ ਦੂਰੀ
তাড়াতাড়ি,ਜਲਦੀ
দ্রুত সময়ের প্রভাব পরীক্ষা,ਤੇਜ਼ ਸਮਾਂ ਪ੍ਰਭਾਵ ਟੈਸਟ
দ্রুত প্রবাহ,ਤੇਜ਼ ਵਹਾਅ
দ্রুত গতি,ਤੇਜ਼ ਰਫ਼ਤਾਰ
দ্রুত শরীর,ਤੇਜ਼ ਸਰੀਰ
