Kannada,Marathi
ದಾಟುವುದು,Uptement
ಸಂಕ್ಷಿಪ್ತ ರೂಪ,संक्षेप
ಅಪಹರಣ,अपहरण
ನಿರುತ್ಸಾಹಗೊಳಿಸುವಿಕೆ,अबाधित
ಸಾಮರ್ಥ್ಯ,क्षमता
ಎಬಿ ಇನಿಶಿಯೋ,अब इनिशिओ
ಸಮರ್ಥ,सक्षम
ಅಸಹಜ,असामान्य
ನಿರ್ಮೂಲನ,निर्मूलन
ರದ್ದುಮಾಡುವಿಕೆ,रद्दबातल पोस्ट
ಮೇಲೆ ತಿಳಿಸಿದ,वर दिल्याप्रमाणे
ಮೇಲೆ ಉಲ್ಲೇಖಿಸಲಾಗಿದೆ,वर उद्धृत
ಮೇಲೆ ಹೇಳಿದರು,वरील म्हणाले
ಅನುಪಸ್ಥಿತಿ,अनुपस्थिती
ಗೈರುಹಾಜರಿ,अनुपस्थित
ಗೈರುಹಾಜರಿ,अनुपस्थिति
ಗೈರುಹಾಜರಿ ಹೇಳಿಕೆ,अनुपस्थित विधान
ಸಂಪೂರ್ಣ,परिपूर्ण
ಸಂಪೂರ್ಣ ಏಕಸ್ವಾಮ್ಯ,परिपूर्ण मक्तेदारी
ಸಂಪೂರ್ಣ ಮಾಲೀಕತ್ವ,परिपूर्ण मालकी
ಹೀರುವಿಕೆ,शोषण
ಅಮೂರ್ತ,गोषवारा
ಅಮೂರ್ತತೆ,अमूर्त स्टेटमेंट
ಅಸಂಬದ್ಧ,बेशुद्ध
ಹೇರಳವಾಗಿರುವುದು,विपुलता
ಅಧಿಕಾರದ ದುರುಪಯೋಗ,शक्तीचा गैरवापर
ನಿಂದಕ ಭಾಷೆ,अपमानास्पद भाषा
ಶೈಕ್ಷಣಿಕ,शैक्षणिक
ಶೈಕ್ಷಣಿಕ ಚರ್ಚೆ,शैक्षणिक चर्चा
ಶೈಕ್ಷಣಿಕ ರಜೆ,शैक्षणिक रजा
ಶೈಕ್ಷಣಿಕ ಅರ್ಹತೆ,शैक्षणिक पात्रता
ಶೈಕ್ಷಣಿಕ ದಾಖಲೆ,शैक्षणिक नोंद
ತಪ್ಪೊಟ್ಟು,प्रवेश
ಒಪ್ಪಿಕೊಳ್ಳಿ,स्वीकारा
ಸ್ವೀಕಾರಾರ್ಹತೆ,स्वीकृती
ಕಚೇರಿಯ ಸ್ವೀಕಾರ,कार्यालय स्वीकारणे
ಟೆಂಡರ್ ಸ್ವೀಕಾರ,निविदा स्वीकारणे
ಪ್ರವೇಶ,प्रवेश
ಪ್ರವೇಶ,प्रवेश
ಪರಿಕರ,Ory क्सेसरी
ಅಪಘಾತ,अपघात
ಒಗ್ಗೂಡಿಸುವಿಕೆ,सहनशीलता
ಸೌಕರ್ಯ,निवास
ಜೊತೆಗಾರ,सोबत
ಸ ೦ ಗೀತ,करार
ಪ್ರೇಕ್ಷಕ,अनुयायी
ಹಾಗೆಯೇ,त्यानुसार
ಖಾತೆ,खाते
ಹೊಣೆಗಾರಿಕೆ,उत्तरदायित्व
ಹೊಣೆಗಾರ,जबाबदार
ಹೊಣೆ,अकाउंटन्सी
ಲೆಕ್ಕಪರಿಶೋಧಕ,अकाउंटंट
ಇದಕ್ಕೆ ಖಾತೆ,साठी खाते
ಖಾತೆ,खाते डोके
ಸಂಚಿತ ಲಾಭ,जमा लाभ
ಸಂಚಿತ ಪಿಂಚಣಿ,जमा पेन्शन
ಸಂಗ್ರಹಣೆ,संचय
ನಿಖರತೆ,अचूकता
ನಿಖರವಾದ,अचूक
ಆರೋಪಿಸು,आरोप
ಆರೋಪಿ,आरोपी
ಸಾಧನೆ,यश
ಸ್ವೀಕೃತಿ,पोचपावती
ಸ್ವೀಕೃತಿ ಕಾರಣ,पावती देय
ಪರಿಚಯ,ओळखी
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು,संपादन
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು,शोध
ಕಯ,कायदा
ನಟನಾ ಭತ್ಯೆ,अभिनय भत्ता
ಕ್ರಿಯಾಶೀಲತೆ,क्रिया
ಕಾರ್ಯ ತಂತ್ರ,कृती योजना
ಸಕ್ರಿಯ,सक्रिय
ಸಕ್ರಿಯವಾಗಿ,सक्रियपणे
ಕಾರ್ಯಕರ್ತ,कार्यकर्ता
ಭಗವಂತನ ಆಟ,देवाची करणी
ದುಷ್ಕೃತ್ಯದ ಕ್ರಿಯೆ,गैरवर्तन कायदा
ಆಯೋಗ ಮತ್ತು ಲೋಪದ ಕ್ರಿಯೆ,कमिशनचे कार्य आणि वगळणे
ನಿಜವಾದ,वास्तविक
ವಾಸ್ತವಿಕ,वास्तविक
ರೂಪಾಂತರ,रुपांतर
ಸೇರ್ಪಡೆ,या व्यतिरिक्त
ಹೆಚ್ಚುವರಿ ಶುಲ್ಕ,अतिरिक्त शुल्क
ಹೆಚ್ಚುವರಿ ನಿಧಿ,अतिरिक्त निधी
ಹೆಚ್ಚುವರಿ ಅನುದಾನ,अतिरिक्त अनुदान
ಹೆಚ್ಚುವರಿ ಮಾಹಿತಿ,अतिरिक्त माहिती
ಹೆಚ್ಚುವರಿ ವೇತನ,अतिरिक्त वेतन
ಸೇರ್ಪಡೆ ಮತ್ತು ಬದಲಾವಣೆ,जोड आणि बदल
ಭಾಷಣ,पत्ता
ವಿಳಾಸದಾರ,पत्ता
ಸ್ವಾಗತದ ವಿಳಾಸ,स्वागताचा पत्ता
ಸಮರ್ಪಕ,पुरेसे
ಅಂಟಿಕೊಳ್ಳಿ,चे पालन करा
ತಾತ್ಕಾಲಿಕ,अ‍ॅड हॉक
ತಾತ್ಕಾಲಿಕ ಹಕ್ಕು,तदर्थ दावा
ತಾತ್ಕಾಲಿಕ ಸಮಿತಿ,तदर्थ समिती
ತಾತ್ಕಾಲಿಕ ಹೆಚ್ಚಳ,तदर्थ वाढ
ತಾತ್ಕಾಲಿಕ ಪಾವತಿ,तदर्थ देयक
ಪಕ್ಕದ,समीप
ಪಕ್ಕದ (= ಸಮೀಪ),शेजारी (= संमिश्र)
ಮುಂದೂಡಿಕೆ,तहकूब
ಮುಂದೂಡುವ ಚಲನೆ,तहकूब गती
ತೀರ್ಪು,सहभाग
ತೀರ್ಮಾನಿಸು,न्यायाधीश
ಯಜಮಾನ,निर्णय
ತೀರ್ಪುಗಾರ,न्यायाधीश
ಹೊಂದಾಣಿಕೆ,समायोजन
ನಿರ್ವಹಿಸು,प्रशासकीय
ಪ್ರಮಾಣವಚನ ಸ್ವೀಕರಿಸಿ,शपथ प्रशासित करा
ಆಡಳಿತ,प्रशासन
ನ್ಯಾಯದ ಆಡಳಿತ,न्याय प्रशासन
ಆಡಳಿತಕಾರಿಯಾದ,प्रशासकीय
ಆಡಳಿತಾಧಿಕಾರಿ ಕ್ರಿಯೆ,प्रशासकीय कारवाई
ಆಡಳಿತಾಧಿಕಾರಿ ಮೌಲ್ಯಮಾಪನ,प्रशासकीय मूल्यांकन
ಆಡಳಿತಾಧಿಕಾರಿ ಅನುಮೋದನೆ,प्रशासकीय मान्यता
ಆಡಳಿತ ಪ್ರಾಧಿಕಾರದ,प्रशासकीय अधिकार
ಆಡಳಿತ ನಿಯಂತ್ರಣ,प्रशासकीय नियंत्रण
ಆಡಳಿತಾತ್ಮಕ ನಿರ್ಧಾರ,प्रशासकीय निर्णय
ಆಡಳಿತ ಇಲಾಖೆ,प्रशासकीय विभाग
ಆಡಳಿತಾಧಿಕಾರಿ,प्रशासकीय प्रमुख
ಆಡಳಿತ ಕೇಂದ್ರ ಕಚೇರಿ,प्रशासकीय मुख्यालय
ಆಡಳಿತಾತ್ಮಕ ಕ್ರಮಗಳು,प्रशासकीय उपाय
ಆಡಳಿತ ಅಧಿಕಾರ,प्रशासकीय शक्ती
ಆಡಳಿತಾಧಿಕಾರಿ ಅನುಮೋದನೆ,प्रशासकीय मंजुरी
ಆಡಳಿತ ತಂತ್ರ,प्रशासकीय तंत्र
ಆಡಳಿತ ನ್ಯಾಯಸಮ್ಮತ,प्रशासकीय न्यायाधिकरण
ಪ್ರವೇಶಸಾಧ್ಯತೆ,प्रवेशयोग्यता
ಸ್ವೀಕಾರಾರ್ಹ ಖರ್ಚು,स्वीकार्य खर्च
ಒಪ್ಪಿಸು,कबूल करा
ಪ್ರವೇಶ ಕಾರ್ಡ್,प्रवेश कार्ड
ಒಪ್ಪಿಕೊಂಡ,दाखल
ಕವಲೊಡೆಯು,सूचना
ಅಳವಡಿಕೆದಾರ,दत्तक
ರೋಗಿ,दत्तक
ದತ್ತು,दत्तक
ವಯಸ್ಕ,प्रौढ
ವ್ಯಭಿಚಾರ,भेसळ
ವ್ಯಭಿಚಾರ,व्यभिचार
ವಯಸ್ಕರ ಫ್ರ್ಯಾಂಚೈಸ್,प्रौढ मताधिकार
ಜಾಹೀರಾತು ಶೌರ್ಯ ಕರ್ತವ್ಯ,अ‍ॅड व्हॅलोरम ड्यूटी
