Kannada,Odiya
ಅಬೆಲಿಯನ್ ಗುಂಪು,ଆବେଲିଆନ୍ ଗୋଷ୍ଠୀ |
ಅಬೆಲಿಯನ್ ಸೆಮಿಗ್ರೂಪ್,ଆବେଲିଆନ୍ ସେମିଗ୍ରୁପ୍ |
ಅಬ್ಸಿಸ್ಸಾ,abscissa
ಸಂಪೂರ್ಣ,ସଂପୂର୍ଣ୍ଣ
ಸಂಪೂರ್ಣ ಒಮ್ಮುಖ,ସଂପୂର୍ଣ୍ଣ ସମ୍ମିଶ୍ରଣ |
ಸಂಪೂರ್ಣ ದೋಷ,ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |
ಸಂಪೂರ್ಣ ಗರಿಷ್ಠ,ସଂପୂର୍ଣ୍ଣ ସର୍ବାଧିକ
ಸಂಪೂರ್ಣ ಕನಿಷ್ಠ,ସଂପୂର୍ଣ୍ଣ ସର୍ବନିମ୍ନ |
ಸಂಪೂರ್ಣ ಮೌಲ್ಯ,ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ
ಸಂಪೂರ್ಣ ವೇಗ,ସଂପୂର୍ଣ୍ଣ ବେଗ
ಅಮೂರ್ತ ಬೀಜಗಣಿತ,ବିସ୍ତୃତ ବୀଜ ବର୍ଣ୍ଣନା |
ಅಮೂರ್ತ ಗುಂಪು ಸಿದ್ಧಾಂತ,ବିସ୍ତୃତ ଗୋଷ୍ଠୀ ସିଦ୍ଧାନ୍ତ |
ವೇಗವರ್ಧನೆ,ତ୍ୱରଣ
ಗುರುತ್ವಾಕರ್ಷಣೆಯಿಂದಾಗಿ ವೇಗವರ್ಧನೆ,ମାଧ୍ୟାକର୍ଷଣ ହେତୁ ତ୍ୱରଣ |
ಸ್ವೀಕಾರಾರ್ಹ ಆಯ್ಕೆ ಸೆಟ್,ଗ୍ରହଣୀୟ ପସନ୍ଦ ସେଟ୍ |
ಸ್ವೀಕಾರಾರ್ಹ ಗುಣಮಟ್ಟದ ಮಟ್ಟ,ଗ୍ରହଣୀୟ ଗୁଣବତ୍ତା ସ୍ତର |
ಸ್ವೀಕಾರಾರ್ಹ ಶ್ರೇಣಿ,ଗ୍ରହଣୀୟ ପରିସର |
ಸ್ವೀಕಾರಾರ್ಹ ವಿಶ್ವಾಸಾರ್ಹತೆಯ ಮಟ್ಟ,ଗ୍ରହଣୀୟ ବିଶ୍ୱସନୀୟତା ସ୍ତର |
ಸ್ವೀಕಾರಾರ್ಹ ಮಾದರಿ,ଗ୍ରହଣୀୟ ନମୁନା
ಸಂಚಿತ ದೋಷ,ସଂଗୃହିତ ତ୍ରୁଟି |
ನಿಖರತೆ,ସଠିକତା
ಕಾರ್ಯನಿರ್ವಹಿಸುವ ಶಕ್ತಿ,ଅଭିନୟ ଶକ୍ତି
ಕ್ರಮ,କାର୍ଯ୍ୟ
ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ,କାର୍ଯ୍ୟ ଏବଂ ପ୍ରତିକ୍ରିୟା
ವಾಸ್ತವಿಕ ವಿಜ್ಞಾನ,ଆକ୍ଟୁରିଆଲ୍ ସାଇନ୍ସ |
ತೀವ್ರ ಕೋನೀಯ ತ್ರಿಕೋನ,ତୀବ୍ର କୋଣିଆ ତ୍ରିରଙ୍ଗା |
ಅಸೈಕ್ಲಿಕ್,acyclic
