Hindi,Odiya
अपाक्ष पृष्ठ,ଅବକାଶର ପୃଷ୍ଠ |
उदर,ପେଟ
उदर महाधमनी,ପେଟର ଆର୍ଟା |
उदर गुच्छिका,ପେଟର ଗ୍ୟାଙ୍ଗଲିଆ |
अबेलमॉस्कस एस्कुलेन्टस,ଆବେଲୋମୋସସ୍ ଏସ୍କୁଲେଣ୍ଟସ୍ |
विपथन,ଆବର୍ଗନ
ऐबीज (बलूत),ଆବିସ୍
ऐबिंग्डन कछुआ,ଆବିଙ୍ଗଡନ୍ କଇଁଛ |
अजीवात्जनन,Abognescesis
अजीवीय,ଅବିଟ
"अजीवीय कारक, अजैव कारक",ଅବିଟିକ୍ ଫ୍ୟାକ୍ଟର୍ |
अपसामानय मूत्र,ଅସ୍ୱାଭାବିକ ପରିସ୍ରା |
ए.बी.ओ. रुधिर वर्ग,ଆବୋ ରକ୍ତ ଗୋଷ୍ଠୀ |
एब्सिसिक अम्ल,ଅବସିସିକ୍ ଏସିଡ୍ |
विलगन,ଅବସିସନ
अवशोषण करना,ଶୋଷଣ
अवशोषण शिखर,ଅବଶୋଷଣ ଶିଖର |
अवशोषण,ଶୋଷଣ
अकेशिया कैटेच्यू,ଆକାସିଆ କ୍ୟାଚଚୁ |
अकेशिया अरेबिका (बबूल),ଆକାରିଆ ଆରବୀ |
ऐकैप्रिन,ଆକ୍ରିନ
स्वीकार्य लैंगिक व्यवहार,ଗ୍ରହଣୀୟ ଯ sexual ନ ଆଚରଣ |
सहायक ग्रंथि,ଆନୁଷଙ୍ଗିକ ଗ୍ରନ୍ଥି |
अतिरिक्त ग्रंथि,ଆନୁଷଙ୍ଗିକ ଗ୍ରନ୍ଥି |
सहायक अंग,ଆନୁଷଙ୍ଗିକ ଅଙ୍ଗ |
"पर्यनुकूलन, दशानुकूलन",ସୁକମ୍ଲାଇଜେସନ୍
"पर्यनुकूलित करना, दशानुकूलित करना",ଆକ୍ସଲାଇଜାଇଜ୍ କରନ୍ତୁ |
समंजन (फोकसन),ଆବାସ (ଧ୍ୟାନ)
नेत्र की समंजन क्षमता,ଆଖିରେ ରହିବା
अभिवर्धी वृद्धि,ଆକ୍ରେଟେନାରୀ ଅଭିବୃଦ୍ଧି |
"संचय, संचयन",ଜମା
कार्बनिक पदार्थों का एकत्रीकरण,ଜମାକାରୀ ପଦାର୍ଥର ଜମା |
मृदा संचयन,ମାଟିର ଜମା |
अकोशिकीय,Acellululula |
अकोशिकीय जीव,ଆରେଲେଲୁଲାର୍ ଜୀବଜନ୍ତୁ |
"श्रोणिउलूखल, ऐसीटैबुलम",ଏସିଟାବୁଲମ୍
ऐसीटेल्डिहाइड,ACTalDeyDee
ऐसीटिल सह-ऐंजाइम,ACETIL କୋଏନୋଜିମ୍ |
ऐकेटाइना,ଆଖିନିନା |
ऐकीन प्रकार,ଅହିଯାଉଥିବା ପ୍ରକାର |
ऐकीन,ଅହିଯେ
ऐक्लेमाइडोस्पोरी,ଅଖ୍ଲଣିଡୋସପୋରିଆ |
अम्ल वर्षा,ଅମ୍ଳ ବର୍ଷା
अम्लीय,ଅମ୍ଳୀୟ
अम्लीय गैस,ଅମ୍ଳୀୟ ଗ୍ୟାସ୍ |
अम्लता,ଅମ୍ଳତା
गुच्छकोष्ठक कोशिका,ଆଖର ସେଲ୍ |
अगुहिक,ଆକ୍ୱେମିଲେଟ୍ |
ऐकोनिटम,ଆକୋନିଟମ୍
"एकॉर्न कृमि, बंजुक कृमि",ଆକ୍ୟୁନ୍ ପୋକ |
"ध्वानिक मंडलन, ध्वानिक जोननिर्माण",ଆକାଶବାଣୀ ଜୋନିଂ |
उपार्जित लक्षण,ଅର୍ଜନ ବର୍ଣ୍ଣ
उपार्जित प्रतिरक्षा,ଅଜାଣତର କାରଣ
उपार्जित प्रतिरक्षा न्यूनता संलक्षण (एड्स),ଇମ୍ପୁନାଓ ଅଭାବ ସିଣ୍ଡ୍ରୋମ (ଏଡସ୍) ହାସଲ କରିଛି |
ऐक्रैनिया,ଅକାନିଆ
एक्रिडीन रंजक,ଆକ୍ରିଡାଇନ୍ ରଙ୍ଗ
अग्रकेंद्री,ଆକ୍ରୋସେଣ୍ଟ୍ରିକ୍ |
अंसकूट,ଆକ୍ରୋମିଅନ୍ |
अग्राभिसारी अनुक्रम,ଆକ୍ରୋପେଟାଲ୍ କ୍ରମ |
अग्राभिसारी क्रम,ଆକ୍ରୋପେଟାଲ୍ କ୍ରମ |
एक्रोसिन,ଆକ୍ରୋସିନ୍ |
ऐक्टिन,ଆକ୍ଟିନ୍ |
ऐक्टिन-सम प्रोटीन,ଆକ୍ଟିନ୍-ପ୍ରୋଟିନ୍ |
त्रिज्यासममित,ଆକ୍ଟିନୋମୋରଫିକ୍ଫିକ୍ |
एक्टिनोमाइसिटीज,ଆକ୍ଟିନୋମିସେସିସ୍ |
क्रिया विभव,କାର୍ଯ୍ୟ ସମ୍ଭାବନା
