Punjabi,Kannada
ਅਸਧਾਰਨ,ಅಸಹಜ
ਅਧੂਰਾ ਛੱਡਣਾ,ಸ್ಥಗಿತಗೊಳಿಸು
ਘ੍ਰਿਣਾ,ಸವೆದುಹೋಗುವಿಕೆ
ਅਚਾਨਕ,ಹಠಾತ್ತಾಗಿ
ਪੂਰੀ ਫੀਲਡ ਤਾਕਤ,ಸಂಪೂರ್ಣ ಕ್ಷೇತ್ರ ಶಕ್ತಿ
ਪੂਰਨ ਤਾਪਮਾਨ,ಸಂಪೂರ್ಣ ತಾಪಮಾನ
ਸਹੀ ਮੁੱਲ,ಸಂಪೂರ್ಣ ಮೌಲ್ಯ
ਸੋਖਣਾ,ಹೀರಿಕೊಳ್ಳಿ
ਸਮਾਈ ਸਹਿਕਾਰਤਾ,ಹೀರಿಕೊಳ್ಳುವ ಸಹ-ಸಮರ್ಥ
ਸਮਾਈ ਨੁਕਸਾਨ,ಹೀರಿಕೊಳ್ಳುವ ನಷ್ಟ
ਸਾਰ,ಅಮೂರ್ತ
ਐਕਸੀਲਾਮੀਟਰ,ವೇಗವರ್ಧಕ ಮಾಪಕ
ਪ੍ਰਵਾਨਗੀ ਟੈਸਟ,ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ
ਪਹੁੰਚ,ಪ್ರವೇಶ
ਐਕਸੈਸ ਕੰਟਰੋਲ,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ
ਐਕਸੈਸ ਪੁਆਇੰਟ,ಪ್ರವೇಶ
ਐਕਸੈਸ ਟਾਈਮ,ಪ್ರವೇಶ ಸಮಯ
ਪਹੁੰਚਯੋਗਤਾ,ಪ್ರವೇಶಿಸುವಿಕೆ
ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ ਸੈੱਲ,ಸಂಚಯಕ ಕೋಶ
ਸ਼ੁੱਧਤਾ,ನಿಖರತೆ
ਸਹੀ,ನಿಖರವಾದ
ਅਕੀਰੋਮੈਟਿਕ ਲੈਂਜ਼,ವರ್ಣರಂಜಿತ ಮಸೂರದ
ਐਸਿਡ,ಆಮ್ಲ
ਐਸਿਡ ਦਾ ਸਬੂਤ,ಆಮ್ಲ ಪುರಾವೆ
ਐਸਿਡਿਟੀ,ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ
ਪ੍ਰਵਾਨਗੀ ਬਿੱਟ,ಸ್ವೀಕೃತ ಬಿಟ್
ਧੁਨੀ,Acೇಳ್ಳರದ
ਧੁਨੀ ਸੰਚਾਰ,ಅಕೌಸ್ಟಿಕ್ ಸಂವಹನ
ਧੁਨੀ ਫੈਲਾਉਣ,ಅಕೌಸ್ಟಿಕ್ ಪ್ರಸರಣ
ਧੁਨੀ ਬਰਾਬਰੀ,ಅಕೌಸ್ಟಿಕ್ ಸಮೀಕರಣ
ਧੁਨੀ ਫੀਡਬੈਕ,ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ
ਧੁਨੀ ਫਿਲਟਰ,ಕೊಳೆತ ಫಿಲ್ಟರ್
ਧੁਨੀ ਰੁਕਾਵਟ,ಸಕಲಿಯ ಪ್ರತಿರೋಧ
ਧੁਨੀ ਮਾਸਕਿੰਗ,ಅಕೌಸ್ಟಿಕ್ ಮರೆಮಾಚುವ
ਧੁਨੀ ਸ਼ਕਤੀ,ಅಕೌಸ್ಟಿಕ್ ಶಕ್ತಿ
ਧੁਨੀ ਸੰਪਤੀ,ಅಕೌಸ್ಟಿಕ್ ಆಸ್ತಿ
ਧੁਨੀ ਪ੍ਰਤੀਕਰਮ,ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ
ਧੁਨੀ ਪ੍ਰਤੀਬਿੰਬ,ಅಕೌಸ್ಟಿಕ್ ರಿಫ್ಲೆಕ್ಸ್
ਧੁਨੀ ਟਾਈਲ,ಅಕೌಸ್ಟಿಕ್ ಟೈಲ್
ਧੁਨੀ ਲਹਿਰ,ಸ ೦ ವರ ತರಂಗ
ਧੁਨੀ ਸਮਾਈ,ಅಕೌಸ್ಟಿಕ್ ಹೀರಿಕೊಳ್ಳುವಿಕೆ
ਧੂ-ਰਹਿਤ ਅਟੁੱਟ ਨਿਰੰਤਰ,ಅಕೌಸ್ಟಿಕ್ ಅಟೆನ್ಯೂಯೇಷನ್ ​​ಸ್ಥಿರ
ਧੁਨੀ ਗਿੱਲੀ,ಕೊಳೆತ ಡ್ಯಾಂಪಿಂಗ್
ਧੁਨੀ ਦੇਰੀ ਦੀ ਲਾਈਨ,ಅಕೌಸ್ಟಿಕ್ ವಿಳಂಬ ರೇಖೆ
ਧੁਨੀ ਵਿਗਾੜ,ಅಕೌಸ್ಟಿಕ್ ಅಸ್ಪಷ್ಟತೆ
ਧੁਨੀ ਨਲੀ,ಅಕೌಟಿಕಲ್ ನಾಳ
ਧੁਨੀ energy ਰਜਾ,ಅಕೌಟಿಕಲ್ ಶಕ್ತಿ
ਧੁਨੀ ਫੀਡਬੈਕ,ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ
ਧੁਨੀ ਫਿਲਟਰ,ಕೊಳೆತ ಫಿಲ್ಟರ್
ਧਾਰਨਾ,ಕೊಳೆತ ಪ್ರತಿರೋಧ
ਧੁਨੀ ਪ੍ਰਸਾਰ ਨੂੰ ਸਥਿਰ,ಅಕೌಸ್ಟಿಕ್ ಪ್ರಸರಣ ಸ್ಥಿರ
ਧੁਨੀ ਪ੍ਰਤੀਰੋਧ,ಅಕೌಟಿಕಲ್ ಪ್ರತಿರೋಧ
ਧੁਨੀ,ಅಕೌಸ್ಟಿಕ್ ವಿಂಗಡಣೆಯ
ਧੁਨੀ,ಸ್ರವಿಸುವ
ਗ੍ਰਹਿਣ,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು
ਐਕਰੋਨਾਈਮ,ಸಂಕ್ಷಿಪ್ತ ರೂಪ
ਕਾਰਵਾਈ ਖੇਤਰ,ಕಾರ್ಯ ಪ್ರದೇಶ
ਸਰਗਰਮ ਤੰਦ,ಸಕ್ರಿಯ ತಂತು
ਕਿਰਿਆਸ਼ੀਲ,ಸಕ್ರಿಯ
ਐਕਟਿਵ ਖੇਤਰ,ಸಕ್ರಿಯ ಪ್ರದೇಶ
ਐਕਟਿਵ ਵਿੰਡੋ,ಸಕ್ರಿಯ ಕಿಟಕಿ
ਅਨੁਕੂਲਤਾ,ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ
ਅਡੈਪਟਰ (ਅਡੈਪਟਰ),ಅಡಾಪ್ಟರ್ (ಅಡಾಪ್ಟರ್)
